"section","subsection","kind","text","details"
"preconf-workshops","","","**Generalized Linear Models for Psychology: Understanding, Simulating, and Planning Your Analyses**. Pre-conference Workshop Cognitive Science Arena, Brixen (Italy). Feb. 2026 (4 hrs.). Hands-on methodological workshop held with Filippo Gambarota, PhD. https://psicostat.github.io/glm-workshop/",""
"preconf-workshops","","","**A Practical Introduction to Evidence Accumulation Models in Visual Perception Research**. European Conference on Visual Perception, Mainz (Germany). Aug. 2025 (2.5 hrs.). Hands-on methodological workshop held with Carolina Maria Oletto, PhD. https://mar-cald.github.io/eam-workshop/eam-home.html.",""
"preconf-workshops","","","**Introduction to Reproducible Science**. Pre-School workshop *Replicability Crisis in Science*, Padova (Italy). Ed. 2025 and 2026 (2 hrs.). Material: https://github.com/Mar-Cald/repro-pre-school.",""
"invited-talks","","","**Bayesian inference and multiple comparisons: From idealization of methods to conscious practice**. **C**ognitive **N**euroscience Seminars, Department of General Psychology, University of Padova, Italy. Dec. 2025.",""
"invited-talks","","","**From Cognitive Psychology to Bayesian Multiple Testing**. Medical Statistics Meeting, Department of Biomedical Data Sciences, Leiden University Medical Center, Leiden, The Netherlands. Oct. 2025.",""
"invited-talks","","","**Bayesian Multiple Testing**. STAT-Talk Series, Methodology and Statistics Department, Institute of Psychology, Leiden University, Leiden, The Netherlands. Sept. 2025.",""
"awards","","","**Travel Grant**: Cognitive Science Arena, Brixen (Italy).",""
"awards","","","**Travel Grant**: European Conference on Visual Perception, Mainz (Germany).",""
"awards","","","**Travel Grant**: qHelp international seminar on Quantitative Psychology, Arrifana (Portugal).",""
"awards","","","**Painter Award**: Best Poster, Cognitive Science Arena, Brixen (Italy).",""
"awards","","","**Erasmus Placement Grant (2 Months)**: Donders Sleep and Memory Lab, Nijmegen (The Netherlands).",""
"awards","","","**Erasmus Placement Grant (5 Months)**: Jaume I University, Castellón de la Plana (Spain).",""
"peer-reviews","","text","Ad hoc reviewer (4 reviewed papers) for:",""
"peer-reviews","","","Italian Journal of Applied Statistics (1)",""
"peer-reviews","","","Frontiers in Psychology - Theoretical and Philosophical Psychology (1)",""
"peer-reviews","","","Frontiers in Psychology - Cognition (1)",""
"peer-reviews","","","PLoS ONE (1)",""
"teaching","","text","[planned] means that the course has been officially scheduled but not delivered yet.",""
"teaching","Lectures on contract (docenze a contratto)","","**Inferenza e statistica Bayesiana** (10 hours). Master in Quantitative Psychology, Department of Philosophy, Sociology, Education and Applied Psychology, University of Padova. Jul. 2026 [planned].",""
"teaching","Lectures on contract (docenze a contratto)","","**Modelli lineari** (10 hours). Master in Quantitative Psychology, Department of Philosophy, Sociology, Education and Applied Psychology, University of Padova. Jun. 2026 [planned]. Material: https://mar-cald.github.io/psqt/modelli-lineari.html",""
"teaching","Lectures on contract (docenze a contratto)","","**Test per le organizzazioni** (21 hours, 3 CFU). 2nd semester of the 2025/2026 academic year. Lecturer (titolare di modulo) for the Master’s Degree in Psicologia Sociale, del Lavoro e della Comunicazione, University of Padova. Material: https://ottaviae.github.io/test-organizzioni-fisppa/",""
"teaching","Lectures on contract (docenze a contratto)","","**Introduction to meta-analysis with application in R** (5 hours, 1 CFU). Professor for the course within the PhD program in Psychological Sciences, University of Padova. Apr. 2026. Material: https://mar-cald.github.io/meta-phd/",""
"teaching","Seminars","","**Introduction to Bayesian Statistics with R and Stan** (30 hrs.). Intensive course on Bayesian statistics organized by the Italian Psychological Association (AIP). CEUB, Bertinoro (Italy), Jun. - Jul. 2026 [planned].",""
"teaching","Seminars","","**Introduction to R**. An intensive R programming course offered within the ARCA (Applied Research Course Academy) courses, Department of Developmental Psychology and Socialization, University of Padova. Material: https://github.com/arca-dpss/course-R-2425","Dec. 2024 (20 hrs.) | Apr. 2025 (20 hrs.) | Nov. 2025 (20 hrs.) | Mar. 2026 (20 hrs.)"
"teaching","Seminars","","**Learning in Dynamic Environments: A Tentative Implementation of the Volatile Kalman Filter in Stan.** Presentation (1 hr.) on a Bayesian-based implementation of a learning algorithm for the 2023/24 Psicostat meeting series: https://psicostat.dpss.psy.unipd.it/meetings/slides/2024-03-22_calderan.pdf",""
"teaching","Integrative teaching (Didattica integrativa)","","**Assistance** during lectures for the course **Testing Psicologico** (Prof. Tatiana Marci), Bachelor's degree in Scienze psicologiche dello sviluppo, della personalità e delle relazioni interpersonali, University of Padova (14 hrs.).",""
"teaching","Integrative teaching (Didattica integrativa)","","Preparation and correction of **practical group exercises** and exams for the course **Experimental Research Methods in Psychology** (Prof. Roberta Sellaro), Master's degree in Developmental and Educational Psychology, University of Padova (14 hrs.).",""
"teaching","Integrative teaching (Didattica integrativa)","","**Assistance** in the preparation of exercises and corrections for the course **General Psychology** (Prof. Enrico Toffalini), Bachelor's degree in Techniques and Methods in Psychological Sciences, University of Padova (15 hrs.).",""
"teaching","Integrative teaching (Didattica integrativa)","","**Assistance** during lectures and preparation of **practical group exercise** for the course **General Psychology** (Prof. Giovanna Mioni), Bachelor's degree in Social and Work Psychological Sciences, University of Padova (14 hrs.).",""
"teaching","Workshops","","**Bayesian Approaches To Multiplicity**. Psicostat HandZone on Bayesian Approaches To Multiplicity, University of Padova, Padova (Italy). Dec. 2025 (1.5 hrs.). https://psicostat.dpss.psy.unipd.it/pages/handzone.html",""
"teaching","Workshops","","**Tempi di risposta**. Workshop on reaction time distributions, University of Padova, Padova (Italy). Jun. 2025 (1 hr.). Material: https://mar-cald.github.io/tempi/, https://psicostat.dpss.psy.unipd.it/pages/handzone.html",""
"academic-roles","","","**Expert (Cultore della Materia) of Psychometrics (PSIC-01/C ex M-PSI/03)**. Department of Developmental Psychology and Socialization, University of Padova, Italy. Jan. 2026 - Present.",""
"academic-roles","","","**Representative of Research Fellows** in the Department of General Psychology, University of Padova. Feb. 2025 - Mar. 2026",""
"academic-roles","","","**Co-supervision of students** for their internships and Bachelor’s (2) and Master’s theses (1)",""
"organizational","Methodological School: Replicability Crisis in Science","text","Member of the **Organizing team**. The school covers the epistemological, philosophical, and statistical foundations of replicability (https://psicostat.github.io/replicability-psy-unipd-phd).","Jun. 2025, Padova (Italy) | May 2026, Padova (Italy) | **Lecturers**: Prof. Branden Fitelson, Prof. Giovanni Parmigiani, Dr. Filippo Gambarota, Dr. Margherita Calderan (ed. 2026)"
"organizational","International Winter School - The 4 Ms: Meta-research, Measurement, Multi-lab, and Multiverse data analysis in Behavioral Sciences","text","Member of the **Organizing team**. The Winter School aims to introduce attendees to advancements in meta-research, providing both theoretical insights and practical tools to conduct rigorous research. Feb. 2025, Padova (Italy) (https://winterschool4ms.dpg.unipd.it/).","**Lecturers**: Prof. Daniël Lakens, Prof. Dorothy Bishop, Prof. Jessica Flake, Prof. Lisa DeBruine, Prof. Ulrich Schimmack, Prof. Carlo Umiltà, Prof. Ettore Ambrosini, Dr. Filippo Gambarota, Dr. Giulia Calignano, Prof. Massimo Grassi, Prof. Livio Finos"
"organizational","ONIRICAMENTE","text","Member of the **Organizing team** of the one-day workshop dedicated to public outreach on the Psychology of Sleep. Jun. 2024, Padova (Italy) (https://sites.google.com/view/oniricamente/home-page?authuser=0).",""
"organizational","Cognitive Neuroscience of Sleep Summer School","text","Member of the **Supporting team**. The Summer School examined methods for investigating sleep and memory in humans and animals. It also covered topics related to sleep medicine and dreaming. Nijmegen (Netherlands).",""
"involvement","National Project on Malpractice in Psychological Research","text","Collaborative initiative aimed at identifying and addressing **methodological malpractice** in psychological science, with Enrico Toffalini (University of Padova), Filippo Gambarota (University of Padova) and Tommaso Feraco (University of Padova). My contributions include:",""
"involvement","National Project on Malpractice in Psychological Research","","Toffalini, E., **Calderan, M.**, Feraco, T., & Gambarota, F. Link Functions and Generalized Linear Models in Interaction Testing within Psychological Research. https://osf.io/sjdu4.",""
"involvement","National Project on Malpractice in Psychological Research","","Toffalini, E., **Calderan, M.**, Pagan, R., Tobia, V., & Sonuga-Barke, E. Tails or Types? A Critical Systematic Review of Taxometric Studies of Neurodevelopmental Conditions. Under review in *JCPP Advances*. https://github.com/EnricoToffalini/Taxometrics-Neurodevelopmental-Disorders/tree/main.",""
"involvement","National Project on Adaptive Cognitive Control in Children","text","Part of a national research group focused on investigating adaptive cognitive control in typical, at-risk, and atypical populations within a Neuroconstructivist framework, with Giovanni Mento (University of Padova), Fiorella Del Popolo Cristaldi (University of Padova), Lisa Toffoli (University of Padova), Giulia Stefanelli (University of Padova), Gian Marco Duma (Epilepsy and Clinical Neurophysiology Unit, IRCCS E. Medea). The group has contributed to multiple peer-reviewed publications, conference presentations, and posters. My contributions specifically focused on the application of **Bayesian methods**, including **generalized multilevel models** and **survival analysis** techniques, in the following selected works:",""
"involvement","National Project on Adaptive Cognitive Control in Children","","Toffoli, L., **Calderan, M.**, Del Popolo Cristaldi, F., Duma, G. M., Calcagnì, A., Pastore, M., Tarantino, V., & Mento, G. (2025). Can I afford one more candy? How motivational contexts shape adaptive cognitive control in children. *Developmental Psychology*. Advance online publication. https://doi.org/10.1037/dev0001976.",""
"involvement","National Project on Adaptive Cognitive Control in Children","","Stefanelli G., Toffoli L., **Calderan M.**, Del Popolo Cristaldi F., Duma G. M., Tarantino V., Visalli A., Sellaro R., Mento G. Apprendimento associativo implicito e volatilità ambientale nell’ADHD. **Video-Poster** at Giornate di aggiornamento sull’uso degli strumenti in Psicologia Clinica dello Sviluppo, Bologna (Italy), Feb. 2025.",""
"involvement","National Project on Adaptive Cognitive Control in Children","","Stefanelli G., Toffoli L., **Calderan M.**, Duma G. M., Del Popolo Cristaldi F., Tarantino V., Visalli A., Sellaro R. & Mento G. Super Learning Bros: Developmental trajectories of probabilistic learning in volatile environment. **Talk** at the Cognitive Science Arena, Brixen (Italy), Feb. 2025.",""
"involvement","National Project on Adaptive Cognitive Control in Children","","Toffoli, L., **Calderan, M.**, Duma, G. M., Frisina, S., Tarantino V., & Mento, G. I'm talking to you! Interactive digital content effects on children's adaptive cognitive control. **Talk** at the Cognitive Science Arena, Brixen (Italy), Feb. 2024.",""
