"authors","title","type","verb","event","location","date","url"
"Barbolan, S., Slaby, R., **Calderan, M.**, Knedlíková Wanková, V., & Bertamini, M.","Emotional Responses to Renaissance Art: Differences Between Venetian and Bohemian Paintings","Poster","accepted at the","AIP - Experimental Section XXXII Conference","Venice (Italy)","Sept. 2026",""
"","**Toward Robust Replicability: Modern Perspectives and Methods**. Organizer: **Calderan, M.** Speakers: Alongi, E., Garofalo, S., **Calderan, M.**, Andreella, A. Moderator: Epifania, M.O.","Symposium","accepted for the","AIP - Experimental Section XXXII Conference","Venice (Italy)","Sept. 2026",""
"Barbolan, S., Slaby, R., **Calderan, M.**, Knedlíková Wanková, V., & Bertamini, M.","Emotional Responses to Renaissance Painting: A Comparison Between Venetian and Bohemian Works","Poster","accepted at the","Visual Science of Art Conference (VSAC) 2026, Vision Forward: Perception, Art & Technology","London (United Kingdom)","Aug. 2026",""
"Bastianello, T., Loschiavo, A., Nascimben, C., Reoyo-Serrano, N., **Calderan, M.**, Altoè, G., & Benavides-Varela, S.","The effects of TV and electronic devices on language: a longitudinal study","Poster","accepted at the","ICIS 2026","Panama","Jul. 2026",""
"Bastianello, T., **Calderan, M.**, Loschiavo, A., Nascimben, C., Visibelli, E., Reoyo-Serrano, N., Altoè, G., & Benavides-Varela, S.","L’esposizione ai media rallenta il raggiungimento del babbling e l’input dell’adulto ne accelera il progresso","Talk","at","CLASTA","Torino (Italy)","Jun. 2026",""
"Barbolan, S., Slaby, R., **Calderan, M.**, Knedlíková Wanková, V., & Bertamini, M.","Emotional and Aesthetic Experience in Venetian and Bohemian Paintings from the Renaissance","Poster","presented at the","International Association of Empirical Aesthetics (IAEA) 2026 Conference, Future Follows Past – Creating a Gesamtkunstwerk together for Arts and Aesthetics Research","Jena (Germany)","May 2026",""
"Stefanelli G., Toffoli L., **Calderan M.**, Del Popolo Cristaldi F., Duma G. M., Tarantino V., Visalli A., Sellaro R., Mento G.","Apprendimento associativo implicito e volatilità ambientale nell’ADHD","Video-Poster","at","Giornate di aggiornamento sull’uso degli strumenti in Psicologia Clinica dello Sviluppo","Bologna (Italy)","Feb. 2025",""
"Stefanelli G., Toffoli L., **Calderan M.**, Duma G. M., Del Popolo Cristaldi F., Tarantino V., Visalli A., Sellaro R. & Mento G.","Super Learning Bros: Developmental trajectories of probabilistic learning in volatile environment","Talk","at the","Cognitive Science Arena","Brixen (Italy)","Feb. 2025",""
"**Calderan, M.**, Visalli, A., Degasperi, G., Calistroni, F.M., Sellaro, R., & Cellini, N.","Expecting the unexpected: a closer look at the effect of partial sleep deprivation on learning and inhibitory control","Poster","presented at","Sleep Europe 2024","Seville (Spain)","Sept. 2024",""
"**Calderan, M.**, Visalli, A., Degasperi, G., Calistroni, F.M., Sellaro, R., & Cellini, N.","Restless Sleep, Uncertain Minds: Learning and Inhibitory Control Under Partial Sleep Deprivation","Poster","presented at","CogSci 2024: Dynamics of Cognition","Rotterdam (Netherlands)","Jul. 2024",""
"Degasperi, G., **Calderan, M.**, Mioni, G., Meisner, M., Blachnio, A., Hryhorchuk, I., Plucinska, E., Sobol, M., & Cellini, N.","The role of sleep, circadian rhythms, balanced time perspective on perinatal depression symptoms","Poster","at the","Cognitive Science Arena","Brixen (Italy)","Feb. 2024",""
"Toffoli, L., **Calderan, M.**, Duma, G. M., Frisina, S., Tarantino V., & Mento, G.","I'm talking to you! Interactive digital content effects on children's adaptive cognitive control","Talk","at the","Cognitive Science Arena","Brixen (Italy)","Feb. 2024",""
"**Calderan, M.**, Visalli, A., Sellaro, R., & Cellini, N.","The Effects of Partial Sleep Deprivation on Adaptive Cognitive Control","Poster","presented at","World Sleep Congress","Rio de Janeiro (Brazil)","Oct. 2023",""
"**Calderan, M.**, Visalli, A., Sellaro, R., & Cellini, N.","The sleep-deprived predictive brain: modeling the effect of partial sleep deprivation on adaptive cognitive control","Talk","at the","XXIX Conference of the Italian Association of Psychology (AIP) - Experimental Psychology Section","Lucca (Italy)","Sept. 2023",""
"**Calderan, M.**, Cellini, N., Sellaro, R.","Stressed Minds: Unraveling Acute-Stress Effects on Working Memory Processes","Mini-Talk","at the","Cognitive Science Arena","Brixen (Italy)","Feb. 2023",""
"Toffoli, L., **Calderan, M.**, Del Popolo Cristaldi, F., Duma, G. M., Calcagnì, A., Pastore, M., Tarantino, V., & Mento, G.","Can I afford one more candy? How motivational contexts shape adaptive cognitive control in children","Talk","at the","Cognitive Science Arena","Brixen (Italy)","Feb. 2023",""
"**Calderan, M.**, Cellini, N., Sellaro, R.","Exploring the Influence of Stress on Working Memory Gating Mechanisms","Mini-Talk","at the","XXX Conference of the Italian Association of Psychology (AIP)","Padova (Italy)","Sept. 2022",""
"**Calderan, M.**, Cellini, N., Sellaro, R.","Understanding stress-induced Effects on Working Memory gating mechanisms","Poster","presented at the","22nd meeting of the European Society for Cognitive Psychology (ESCoP)","Lille (France)","Aug. 2022",""
