"section","what","where","when","details","icon"
"current-position","Research Assistant","Department of Developmental Psychology and Socialization, University of Padova, Italy","May 2026 - Present","Number-space association: A comparative, developmental and neurobiological approach | PI: Prof. Silvia Benavides",""
"research","Research Fellow","Department of General Psychology, University of Padova, Italy","Oct. 2024 - Mar. 2026","Tails or types? Testing the dimensional hypothesis in neurodevelopmental disorders | Supervisor: Prof. Enrico Toffalini",""
"education","Ph.D. in Psychological Sciences - cum laude","University of Padova, Italy","Defense: Mar. 2025","Thesis: Balancing stability and flexibility in cognitive control and learning: the effects of arousal | https://researchdata.cab.unipd.it/1437/ | Supervisor: Prof. Roberta Sellaro, Co-Supervisor: Prof. Nicola Cellini",""
"education","Postgraduate Internship","Psychophysiology Lab, University of Padova, Italy","Jan. 2021 - Dec. 2021","Investigated the role of sleep characteristics in false memory formation and emotional reactivity. | Supervisors: Prof. Andrea Spoto, Prof. Nicola Cellini",""
"education","M.Sc. in Cognitive Neuroscience and Clinical Neuropsychology - 110/110 cum laude","University of Padova, Italy","Oct. 2018 - Dec. 2020","Thesis: Sleep characteristics in adults with high functioning autism: a polysomnographic study | Supervisor: Prof. Nicola Cellini",""
"education","Curricular Internship","Psychophysiology Lab, University of Padova, Italy","Dec. 2019 - Aug. 2020","Analyzed polysomnographic data to examine sleep architecture in young adults with high-functioning autism. | Collaborated with the University of Trento and the University of Tübingen. | Supervisor: Prof. Nicola Cellini",""
"education","B.Sc. in Cognitive Psychology and Psychobiology - 109/110","University of Padova, Italy","Sept. 2015 - Jul. 2018","Thesis: Gender differences in the long-term consolidation of emotional memories | Supervisor: Prof. Michela Sarlo",""
"abroad","Visiting Scholar","Department of Biomedical Data Sciences, Leiden University Medical Center, the Netherlands","1.5 months (Sept. 2025 - Oct. 2025)","Research on Bayesian approaches to the problem of multiplicity. | Supervisor: Prof. Jelle Goeman",""
"abroad","Visiting Ph.D. Student","Cognitive Psychology Unit, University of Leiden, the Netherlands","4 months (Feb. 2024 - Jun. 2024)","Worked on a research project investigating how mind-wandering affects cognitive flexibility, applying computational models (https://psyarxiv.com/quhns) to analyze behavioral data. | Supervisor: Dr. Bryant Jongkees",""
"abroad","Research Intern","Donders Sleep and Memory Lab, Donders Institute, the Netherlands","2 months (Jun. 2019 - Aug. 2019)","Assisted with a project on the association between affective memory bias, medial prefrontal schema processing, and sleep in depressed patients and healthy controls. | Assisted with a project on lucid dream induction. | Supervisor: Prof. Martin Dresler",""
"abroad","Erasmus +","Jaume I University, Spain","5 months (Jan. 2017 - Jun. 2017)","Completed a semester-long academic exchange as part of my undergraduate studies.",""
"third-mission","Replicability Crisis in Science – Methodological Seminars","University of Padova, Italy","2025","The school aims to provide a broad and interdisciplinary perspective on replicability, along with tools that help participants explore aspects most relevant to their own field. Lectures cover the epistemological, philosophical, and statistical foundations of replicability and the so-called replication crisis (Jun. 2025).",""
"third-mission","Science4all","University of Padova, Italy","2025","Centra il bersaglio: tra misurazione, probabilità e incertezza. Activity organized by the Psicostat Research Group and proposed during the Science4All activity at the University of Padova (Sept. 2025)",""
"third-mission","ONIRICAMENTE","University of Padova, Italy","2024","One-day workshop dedicated to public outreach on the Psychology of Sleep (Jun. 2024)",""
"research-groups","Psicostat","University of Padova","2024 - Present","I am a core team member of Psicostat, an interdisciplinary research group specializing in quantitative psychology, psychometrics, psychological testing, and statistics. | https://psicostat.dpss.psy.unipd.it/people.html",""
"research-groups","SleePy","University of Padova","2019 - Present","I am a member of SleePy, a research group focusing on sleep psychology.",""
"collaborations","Prof. Jelle Goeman","Leiden University Medical Center, The Netherlands","2025 - Present","Research on Bayesian approaches to the problem of multiplicity.",""
"collaborations","Prof. Aldo Solari","Ca’ Foscari University of Venice, Italy","2025 - Present","Research on Bayesian approaches to the problem of multiplicity.",""
"collaborations","Prof. Giovanni Parmigiani","Harvard University","2025 - Present","Research and teaching projects about replicability in Psychology and Biomedical sciences.",""
"collaborations","Prof. Branden Fitelson","Northeastern University","2025 - Present","Research and teaching projects about replicability in Psychology and Biomedical sciences.",""
"collaborations","Dr. Bryant Jongkees","Leiden University, The Netherlands","2024 - Present","Research on stability and flexibility in cognitive control.",""
"collaborations","Dr. Antonino Visalli","University of Modena and Reggio Emilia, Italy","2023 - Present","Research on computational models of learning and control.",""
"training","Model-based Neuroscience Summer School","University of Amsterdam, the Netherlands","Jul. - Aug. 2024","Hands-on experience in both cognitive modeling using evidence-accumulation models and cognitive neuroscience methods. Three-day introduction to evidence-accumulation modeling using Bayesian inference. Two days focused on how to use the evidence-accumulation framework to formalize performance in complex experimental paradigms, how to construct joint models of multiple tasks using techniques such as hierarchical factor models, and how to combine evidence-accumulation and reinforcement-learning models. | Lecturers: Prof. Andrew Heathcote, Prof. Dora Matzke, Dr. Michael Nunez, Dr. Steven Miletic, and Dr. Niek Stevenson",""
"training","qHelp international seminar on Quantitative Psychology","Arrifana, Portugal","Mar. - Apr. 2023","A one-week intensive seminar covering Shiny and R Markdown for interactive data reporting, Copula theory and its applications in dependence modeling, numerical methods, and optimization techniques for computational analysis. | Lecturers: Julian Mollenhauer, Ana Lourenço, Prof. Luciano Stefanutti, Prof. Hans Colonius, Prof. Francis Tuerlinckx, and Prof. Sérgio Moreira",""
"training","Statistical Rethinking","Online Course","Jan. - Mar. 2023","Pre-recorded lectures and weekly meetings to discuss the material. This course teaches data analysis, focusing on scientific models: conceptual and causal models. Bayesian data analysis to connect scientific models to evidence. | Lecturer: Prof. Richard McElreath",""
"training","Fundamentals and Applications of Pupillometry","University of Padova, Italy","20 hours","This course offers an introduction to the use of pupillometry in cognitive science, combining practical exercises in data processing with free software tools: OpenSesame for implementing classic cognitive psychology tasks and R for analyzing and visualizing continuous pupil diameter changes. Covering key topics such as noise sources, experimental design, data processing options, and the cognitive interpretation of pupillometric measures. | Professor: Dr. Giulia Calignano",""
"training","EEGLAB: analysis of electroencephalographic data","University of Padova, Italy","20 hours","The EEGLAB and ERPLAB toolboxes, which operate within MATLAB, facilitate the analysis of electroencephalographic (EEG) data. This course offers foundational skills in data analysis and theoretical knowledge through practical examples, covering key topics such as data pre-processing and event-related potential (ERP) computation. | Professor: Dr. Mattia Doro",""
"training","Introduction to R","University of Padova, Italy","20 hours","This course introduces the fundamentals of the open-source programming language R, teaching core programming concepts, data structures, and function creation through practical exercises to build versatile skills applicable across academic and professional settings. | Professor: Dr. Filippo Gambarota",""
"training","PsychoPy3: experimental programming","University of Padova, Italy","20 hours","This course introduces participants to PsychoPy, an open-source Python-based software for designing and running behavioral science experiments, teaching them how to create, test, deploy, and manage experiments using its flexible and user-friendly graphical interface. | Professor: Dr. Thomas Quettier",""
"societies","AIP, Sezione Sperimentale","","2022 - Present","",""
"societies","Italian Reproducibility Network","","2023 - Present","",""
"societies","Cognitive Science Society","","2024 - 2025","",""
"societies","European Sleep Research Society","","2023 - 2025","",""
"societies","Society for the Improvement of Psychological Science","","2022 - 2023","",""
"societies","European Society for Cognitive Psychology","","2021 - 2023","",""
"languages","Italian","Mother Tongue","","","🇮🇹"
"languages","English","Proficient","","","🇬🇧"
"languages","Spanish","Beginner","","","🇪🇸"
"programming","R / RStudio","Proficient","","",""
"programming","Stan","Intermediate","","",""
"programming","JAGS","Basic","","",""
"programming","Python","Basic","","",""
"programming","MATLAB","Basic","","",""
"skills","PsychoPy/Pavlovia and OpenSesame/OSWeb","Intermediate","","Task development for behavioral research.",""
"skills","GitHub and GitLab","Intermediate","","Version control and collaboration. | https://github.com/Mar-Cald, https://gitlab.pavlovia.org/mar.cald",""
"skills","Docker","Basic","","Development and deployment of containers.",""
"skills","Google Suite, Office Suite","Intermediate","","Gmail, Calendar, Drive, Meet, Docs, Forms, Sheets.",""
"systems","macOS","Intermediate","","",""
"systems","Windows","Intermediate","","",""
"systems","Linux","Intermediate","","",""
