"status","authors","year","title","journal","volume","url","url_label","note"
"Published","Feraco, T., **Calderan, M.** & Pellegrino, G.","2025","The Living SEB Skills Project: A Living Resource for Review and Meta-Analysis of Social, Emotional, and Behavioral Skills","European Journal of Personality","","https://doi.org/10.1177/08902070261467477","",""
"Published","Mazzoni, N., Kurz, E.V., Cellini, N., Ciringione, L., **Calderan, M.**, Gallitto, G., Falco, S., Venuti, P., Zinke, K., Born, J., & Carìa, A.","2026","Aperiodic and periodic neural activity during sleep in autism spectrum disorders","BMC Medicine","","https://doi.org/10.1186/s12916-026-04771-6","",""
"Published","**Calderan, M.**, Visalli, A., Degasperi, G., Toffoli, L., Sellaro, R., & Cellini, N.","2026","Predictions under sleep restriction: The effects of partial sleep deprivation on learning and inhibitory control","Royal Society Open Science","","https://doi.org/10.1098/rsos.252345","",""
"Published","**Calderan, M.**, Jongkees, J.B., Gambarota, F., Pastore, M., Cellini, N., & Sellaro, R.","2025","Isolating working memory gating processes under stress","Collabra::Psychology","","https://doi.org/10.1525/collabra.140750","",""
"Published","**Calderan, M.**, Toffalini, E., Mirandola, C., & Cellini, N.","2025","Sleep does not affect false memory production on a script-based test","Neuropsychologia","","https://doi.org/10.1016/j.neuropsychologia.2025.109210","",""
"Published","Toffoli, L., **Calderan, M.**, Del Popolo Cristaldi, F., Duma, G. M., Calcagnì, A., Pastore, M., Tarantino, V., & Mento, G.","2025","Can I afford one more candy? How motivational contexts shape adaptive cognitive control in children","Developmental Psychology","","https://doi.org/10.1037/dev0001976","",""
"Published","Sobol, M., Błachnio, A., **Calderan, M.**, Degasperi, G., Mioni, G., Hryhorchuk, I., Plucińska, E., Stasiniewicz, J., Kwapiński, J., Jankowski, K., & Cellini, N.","2025","Balanced time perspective as a factor mitigating the negative consequences of sleep disruptions in the perinatal period","Chronobiology International","1–12","https://doi.org/10.1080/07420528.2025.2490499","",""
"Published","**Calderan, M.**, & Visalli, A.","2024","Challenges of meta-learning and rational analysis in large worlds","Behavioral and Brain Sciences","47, e148","https://doi.org/10.1017/S0140525X24000128","",""
"Under Review","**Calderan, M.**, Gambarota, F., Toffalini, E., & Altoè, G.","","Adjusting the Probability of Direction for Multiple Testing","","","https://doi.org/10.31234/osf.io/8zwx2_v2","Preprint",""
"Under Review","Barbiero, J., Zeilinga, K., **Calderan, M.** & Mioni, G.","","The contribution of the cerebellum in time perception: A systematic review and meta-analyses","","","","",""
"Under Review","Stefanelli, G., Toffoli, L., Del Popolo Cristaldi, F., Duma, G.M., **Calderan, M.**, ... & Mento, G.","","Growing Up in a Changing World: volatility-driven implicit associative learning throughout development","","","","",""
