"esqp_01" "esqp_02" "esqp_03" "esqp_04" "esqp_05" "esqp_06" "esqp_07" "esqp_08" "esqp_09" "esqp_10" "esqp_11" "esqp_12"
"1" 1 1 1 1 1 1 1 1 1 1 1 1
"2" 1 1 1 1 1 1 1 1 1 3 1 1
"3" 1 1 1 1 1 1 1 1 1 3 1 1
"4" 2 1 1 2 NA 2 2 1 1 3 1 1
"5" 1 1 1 1 1 1 1 1 1 2 1 1
"6" 1 1 1 1 1 1 1 1 2 1 1 1
"7" 1 1 1 1 1 1 1 1 2 1 1 1
"8" 1 1 1 1 3 3 3 1 1 1 NA NA
"9" 1 1 1 1 3 3 3 1 1 1 NA NA
"10" 1 1 1 1 1 1 1 1 2 2 1 1
"11" 1 1 1 1 1 1 1 1 2 2 1 1
"12" 1 1 1 1 1 1 1 1 1 1 1 1
"13" 1 1 1 1 1 1 1 1 1 1 1 1
"14" 1 1 1 1 1 1 1 1 1 1 1 1
"15" 1 1 1 1 1 1 1 1 1 1 1 1
"16" 1 1 1 1 2 2 1 2 1 2 1 2
"17" 1 1 1 1 1 1 1 1 2 1 1 1
"18" 2 3 1 3 3 3 3 2 2 1 1 3
"19" 2 3 1 3 3 3 3 2 2 1 1 3
"20" 2 2 2 1 1 2 2 1 3 2 2 2
"21" 2 2 2 1 1 2 2 1 3 2 2 2
"22" 2 1 1 1 2 1 1 1 1 2 1 2
"23" 1 1 2 2 2 2 2 3 2 1 1 1
"24" 1 1 1 1 1 1 1 1 NA 2 1 1
"25" 1 1 1 1 2 1 1 1 1 1 1 1
"26" 1 1 1 1 1 1 1 1 2 2 1 1
"27" 1 1 1 1 1 1 1 1 1 1 1 1
"28" 1 1 1 1 1 1 1 1 1 1 1 1
"29" 1 1 1 1 1 1 1 1 1 1 1 1
"30" 1 1 1 1 1 1 1 2 1 2 1 1
"31" 1 1 1 1 1 1 1 2 1 2 1 1
"32" 1 1 1 1 2 2 2 2 2 1 1 1
"33" 1 1 1 1 1 1 1 1 1 1 1 1
"34" 1 1 1 1 1 1 1 1 1 1 1 1
"35" 1 1 1 1 1 2 1 2 1 1 1 1
"36" 1 1 1 1 1 1 1 1 1 1 1 1
"37" 1 1 1 1 1 1 1 1 1 1 1 1
"38" 1 1 1 1 1 1 1 1 1 1 1 1
"39" 1 1 1 1 2 1 NA 1 3 1 1 1
"40" 1 1 1 1 2 1 NA 1 3 1 1 1
"41" 1 1 1 1 2 1 1 1 1 1 1 1
"42" 1 1 1 1 2 1 1 1 1 1 1 1
"43" 1 1 1 1 2 2 1 1 2 1 1 1
"44" 1 1 1 1 2 2 1 1 2 1 1 1
"45" 1 1 1 1 2 2 2 1 1 1 1 1
"46" 2 2 2 2 2 3 2 2 1 2 2 NA
"47" 2 2 2 2 NA NA 2 NA NA 1 3 2
"48" 2 2 2 2 NA NA 2 NA NA 1 3 2
"49" 2 1 1 2 2 3 3 1 1 1 2 NA
"50" 2 1 1 1 2 2 2 1 1 2 1 2
"51" 2 3 2 2 NA 3 2 2 2 2 3 2
"52" 2 3 2 2 NA 3 2 2 2 2 3 2
"53" 1 1 1 1 2 2 1 1 2 1 1 1
"54" 1 2 1 2 1 2 2 3 1 1 1 1
"55" 1 1 1 1 1 1 1 1 1 1 1 1
"56" 1 1 1 1 1 1 1 1 1 1 1 1
"57" 1 1 1 1 1 1 1 1 1 1 1 1
"58" 1 1 1 1 1 1 1 1 3 1 1 1
"59" 1 1 1 1 1 1 1 1 1 1 1 1
"60" 1 1 1 1 1 1 1 1 1 1 1 1
"61" 1 1 1 1 1 1 1 1 1 1 NA 1
"62" 1 1 1 1 1 1 1 1 1 1 NA 1
"63" 1 1 1 1 1 1 1 1 1 1 1 1
"64" 1 1 1 1 1 1 1 1 1 1 1 1
"65" 1 1 1 1 1 NA 1 2 3 2 1 1
"66" 1 1 1 1 1 1 1 1 2 1 1 1
"67" 1 1 1 1 1 1 1 1 2 1 1 1
"68" 1 2 1 1 2 2 2 1 2 2 1 1
"69" 1 1 1 1 1 1 1 1 1 2 1 1
"70" 1 1 1 1 2 2 1 1 1 1 1 1
"71" 2 1 1 2 2 1 1 1 3 1 1 1
"72" 2 1 1 2 2 1 1 1 3 1 1 1
"73" 2 3 2 3 3 3 NA 2 3 3 3 2
"74" 2 3 2 3 3 3 NA 2 3 3 3 2
"75" 2 1 1 2 NA NA 1 1 1 1 2 NA
"76" 2 1 1 2 NA NA 1 1 1 1 2 NA
"77" 2 2 1 2 1 2 1 2 2 2 1 1
"78" 2 2 1 2 1 2 1 2 2 2 1 1
"79" NA 1 1 1 NA 1 1 1 2 2 1 2
"80" NA 1 1 1 NA 1 1 1 2 2 1 2
"81" 1 1 1 1 1 1 1 1 1 1 1 1
"82" 1 1 1 1 1 2 2 2 1 1 2 2
"83" 1 1 1 1 1 1 1 1 2 1 1 1
"84" 1 1 1 1 1 1 1 1 1 1 1 1
"85" 1 1 1 1 2 2 1 2 2 1 1 1
"86" 1 1 1 NA 1 2 NA 1 1 1 1 1
"87" 1 1 1 1 1 1 1 1 1 1 1 1
"88" 1 1 1 1 2 2 NA 2 2 1 1 1
"89" 1 1 1 1 2 2 NA 2 2 1 1 1
"90" 1 1 1 1 1 1 1 1 1 1 1 1
"91" 1 1 1 1 1 1 1 1 2 1 1 1
"92" 1 1 1 1 1 1 1 1 2 1 1 1
"93" 1 1 1 1 1 1 1 2 1 3 1 1
"94" 1 1 1 1 1 1 1 2 1 3 1 1
"95" 1 1 1 1 1 1 1 1 1 1 1 1
"96" 1 1 1 1 1 1 1 1 2 2 1 1
"97" 1 2 1 2 2 2 2 2 3 2 2 1
"98" 1 1 1 1 1 1 1 1 2 1 1 1
"99" 1 1 1 1 1 1 1 1 2 1 1 1
"100" 1 1 1 1 1 2 1 1 1 1 1 1
"101" 1 1 1 2 1 1 1 1 1 1 1 1
"102" 1 1 1 1 1 1 1 1 1 1 1 1
"103" 2 2 1 1 1 1 1 1 1 1 1 1
"104" 2 1 1 2 1 1 1 2 1 2 1 1
"105" 2 1 1 2 1 1 1 2 1 2 1 1
"106" NA NA NA 2 2 3 NA 1 3 1 2 2
"107" 1 1 1 1 1 1 1 1 1 1 1 1
"108" 1 1 1 1 1 1 NA 1 NA 1 1 1
"109" 1 2 1 1 2 1 1 1 3 1 2 1
"110" 1 1 1 1 1 1 1 1 2 1 1 1
"111" 1 1 1 1 1 1 1 1 1 1 1 1
"112" 1 1 1 1 1 1 1 1 2 1 1 1
"113" 1 2 1 2 NA 2 1 1 1 1 1 2
"114" 1 1 1 1 1 2 1 2 2 1 1 1
"115" 1 1 1 1 1 1 1 1 1 1 1 1
"116" 1 1 1 1 1 1 1 1 1 1 1 1
"117" 1 1 1 1 1 1 1 1 1 1 1 1
"118" 1 1 1 1 1 1 1 1 1 1 1 1
"119" 1 1 1 1 1 2 1 2 2 2 1 1
"120" 1 1 1 1 1 2 1 2 2 2 1 1
"121" 1 1 1 1 1 1 1 1 1 1 1 1
"122" 1 1 1 1 1 1 NA 1 NA 1 1 1
"123" 1 1 1 1 1 1 NA 1 NA 1 1 1
"124" 1 1 1 1 1 1 1 1 1 1 1 1
"125" 1 1 1 1 1 1 1 1 1 1 1 1
"126" 1 1 1 1 1 1 1 1 1 1 1 1
"127" 1 1 1 1 1 1 1 1 1 1 1 1
"128" 1 1 1 1 1 1 1 1 1 1 1 1
"129" 1 1 1 1 1 1 1 1 2 1 1 1
"130" 1 1 1 1 1 1 1 1 1 1 1 1
"131" 1 1 1 1 1 1 1 2 2 1 1 1
"132" 1 1 1 1 1 1 1 2 2 1 1 1
"133" 1 1 1 1 1 1 1 1 1 1 1 1
"134" 1 1 1 1 1 1 1 1 1 1 1 1
"135" 1 1 1 1 1 1 1 2 2 1 1 1
"136" 1 1 1 1 1 1 1 2 2 1 1 1
"137" 1 1 1 1 1 1 1 1 1 1 1 1
"138" 1 1 1 1 1 1 1 1 1 1 1 1
"139" 1 1 1 1 3 2 2 2 2 1 2 3
"140" 1 1 1 1 1 1 1 2 1 1 1 1
"141" 1 1 1 1 1 1 1 2 1 1 1 1
"142" 1 1 1 1 1 1 1 1 1 1 1 1
"143" 1 1 1 1 1 1 1 1 1 1 1 1
"144" 1 1 1 1 1 1 1 2 2 1 1 1
"145" 1 1 1 1 1 1 1 2 2 1 1 1
"146" 1 1 1 1 1 1 1 2 2 1 1 1
"147" 1 1 1 1 1 1 1 1 1 1 1 1
"148" 1 1 1 1 1 1 1 1 1 1 1 1
"149" 1 1 1 1 1 1 NA 1 1 1 1 1
"150" 1 1 1 1 1 1 1 2 3 1 1 1
"151" 1 1 1 1 1 1 1 1 1 1 1 1
"152" 1 1 1 1 1 1 1 1 1 1 1 1
"153" 1 1 1 1 2 2 2 1 1 1 1 1
"154" 1 1 1 1 1 1 1 1 1 2 1 1
"155" 1 2 1 1 2 1 1 1 3 1 2 1
"156" 1 2 1 1 2 1 1 1 3 1 2 1
"157" 1 1 1 1 2 1 1 1 1 1 1 1
"158" 1 1 1 1 1 2 1 1 1 1 1 1
"159" 1 1 1 1 NA 2 2 1 2 2 1 2
"160" 1 1 1 1 2 NA 1 1 1 1 1 1
"161" 1 1 1 1 1 1 1 1 1 1 1 1
"162" 1 1 1 1 1 1 1 1 2 1 1 1
"163" 1 1 1 1 1 1 1 1 1 1 1 1
"164" 2 2 2 3 3 3 3 1 1 1 3 3
"165" 2 2 1 2 2 2 1 2 2 3 1 2
"166" 2 2 2 2 3 3 2 2 1 2 3 2
"167" 2 2 2 2 3 3 3 1 2 1 3 3
"168" 2 2 1 1 2 2 NA 2 2 1 1 1
"169" 2 1 1 2 2 2 2 1 1 1 1 1
"170" 2 1 1 2 2 2 2 1 1 1 1 1
"171" 2 2 2 2 2 2 2 1 1 2 2 2
"172" 2 2 2 2 2 2 2 1 1 2 2 2
"173" 2 2 1 2 2 2 2 3 2 1 2 2
"174" 2 2 1 2 2 2 2 3 2 1 2 2
"175" 2 2 1 2 NA 3 NA 1 1 1 1 2
"176" 3 3 3 3 3 3 3 2 3 3 3 3
"177" 1 1 1 1 1 1 1 1 2 1 1 1
"178" 1 2 1 1 2 NA 1 1 1 2 1 1
"179" 1 1 1 1 1 1 1 1 2 1 1 1
"180" 1 1 1 1 1 2 3 3 3 3 2 1
"181" 1 1 1 1 1 1 1 1 1 1 1 1
"182" 1 1 1 1 1 1 1 1 2 1 1 1
"183" 1 1 1 1 1 1 1 1 2 1 1 1
"184" 1 1 1 1 2 1 1 1 2 1 1 1
"185" 1 1 1 1 1 1 1 1 1 1 1 1
"186" 1 1 1 1 1 1 1 1 1 1 1 1
"187" 1 1 1 1 1 1 1 1 2 1 1 1
"188" 1 1 1 1 1 1 1 1 2 1 1 1
"189" 1 1 1 1 2 2 1 1 1 1 1 1
"190" 1 1 1 1 2 2 1 1 1 1 1 1
