Scopus-1246764-Analyze-Year

"Your query : (DOCTYPE(ar) AND SUBJAREA(PSYC) AND SRCTYPE(j) AND LANGUAGE(English))"


Number of results : 1246764

"YEAR",
"2025","66718"
"2024","80266"
"2023","73209"
"2022","75236"
"2021","70968"
"2020","63602"
"2019","57938"
"2018","55202"
"2017","52830"
"2016","50492"
"2015","49441"
"2014","47737"
"2013","44914"
"2012","40949"
"2011","38723"
"2010","35809"
"2009","33554"
"2008","30241"
"2007","28149"
"2006","24532"
"2005","21098"
"2004","21028"
"2003","19826"
"2002","20630"
"2001","22060"
"2000","21256"
"1999","20432"
"1998","20278"
"1997","20204"
"1996","20313"
"1995","19129"
