Scopus-34360-Analyze-Year

"Your query : ((bayesian analysis) OR (""bayes factor"") AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""PSYC"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 34360

"YEAR",
"2024","4217"
"2023","3663"
"2022","3644"
"2021","3416"
"2020","2821"
"2019","2422"
"2018","2108"
"2017","1727"
"2016","1488"
"2015","1261"
"2014","1154"
"2013","899"
"2012","730"
"2011","637"
"2010","501"
"2009","474"
"2008","360"
"2007","286"
"2006","209"
"2005","183"
"2004","170"
"2003","154"
"2002","156"
"2001","143"
"2000","130"
"1999","117"
"1998","107"
"1997","111"
"1996","90"
"1995","54"
"1994","76"
"1993","56"
"1992","58"
"1991","86"
"1990","46"
"1989","47"
"1988","98"
"1987","31"
"1986","51"
"1985","39"
"1984","33"
"1983","52"
"1982","30"
"1981","24"
"1980","35"
"1979","30"
"1978","22"
"1977","26"
"1976","14"
"1975","21"
"1974","13"
"1973","9"
"1972","7"
"1971","10"
"1970","11"
"1969","1"
"1968","2"
